query_idx,ef_true,MR_gauss_5,MR_log
2294,1950,0.23048,0.249481
8849,5000,0.191178,0.24217
6040,50,0.472352,0.350745
4286,50,0.549997,0.491977
8234,150,0.315996,0.280747
5912,200,0.34768,0.308286
9033,5000,0.186086,0.236952
5967,50,0.526029,0.480893
586,50,0.521425,0.371428
1048,500,0.366088,0.305303
1428,50,0.413387,0.351484
8801,250,0.320504,0.298668
2771,50,0.283131,0.23765
197,50,0.732015,0.640749
7022,400,0.321672,0.22985
3100,750,0.280884,0.264112
725,150,0.433665,0.368034
4355,50,0.81069,0.601917
3325,50,0.785255,0.699213
9651,50,0.385276,0.284435
1499,450,0.187279,0.230557
8010,350,0.254218,0.237313
8809,2800,0.483564,0.30122
2820,250,0.288075,0.225331
8455,50,0.661155,0.549009
9823,150,0.271867,0.254344
6619,50,0.835575,0.612824
5788,50,0.380092,0.342143
6677,50,0.640116,0.44933
515,50,0.407276,0.401627
6718,550,0.325062,0.237791
5804,100,0.371443,0.275161
3494,100,0.508783,0.345758
2023,50,0.463641,0.381731
1293,1150,0.272552,0.268338
2162,1500,0.373674,0.288249
4707,950,0.227534,0.2443
3559,50,0.475905,0.423816
7760,50,0.329205,0.232984
2584,50,0.750413,0.65274
4418,650,0.277164,0.227165
375,100,0.595846,0.4455
3601,50,0.536058,0.447564
7910,100,0.537233,0.415455
6528,700,0.224691,0.211818
1528,50,0.549329,0.434453
8511,100,0.467399,0.414265
4008,450,0.222132,0.184786
9255,250,0.275417,0.191965
5987,50,0.494984,0.353754
8965,50,0.679985,0.49756
2939,2350,0.342342,0.33305
6183,400,0.310522,0.28382
4523,2250,0.178687,0.196483
5796,150,0.559453,0.371967
7265,300,0.209904,0.194073
8240,50,0.298816,0.26507
1974,650,0.218626,0.26706
1543,50,0.651213,0.561998
7964,50,0.640617,0.547831
8493,250,0.230453,0.240908
